Name,Date & Time,Location,Type,Region
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District
Jahari Stampley,Now through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown
JP Saxe,1/31/2024,The Showbox,Music,Downtown
Los Lobos,1/31/2024,The Triple Door,Music,Downtown
The Daimonics,1/31/2024,The Royal Room,Music,South Seattle
A Conversation with Sohla El-Waylly,2/1/2024,Town Hall Seattle,Readings & Lectures,Downtown
BabyTron,2/1/2024,The Showbox,Music,Downtown
Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District
Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District
Memoir,2/2/2024,Benaroya Hall,Music,Downtown
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square
Poolside,2/2/2024,The Showbox,Music,Downtown
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District
Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown
Mau P,2/3/2024,The Showbox,Music,Downtown
Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown
The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown
Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard
Fracture,2/4/2024,Town Hall Seattle,Music,Downtown
Lil Skies,2/4/2024,The Showbox,Music,Downtown
Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square
Joey Valence and Brae,2/6/2024,Barboza,Music,Capitol Hill / Central District
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown
Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
Night Lovell,2/6/2024,The Showbox,Music,Downtown
Soja,2/6/2024,The Neptune Theatre,Music,University District
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown
Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
